,Unnamed: 0,imageLink,category,cardName,s3_file_name,s3_link,hue,rgb,lightness,hue2
1322,1322,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dw5dc2ccc0/images/finished-goods/Modern-Flowers-PickaTitle-1st-Mothers-Day-Card-root-399MOA2431_PV.1.MOA2431.jpg_Source_Image.jpg?sw=416&sh=416&sm=fit&yocs=27_&yoloc=us,Niece,modern-flowers-pickatitle-1st-mothers-day-card-root-399moa2431,modern-flowers-pickatitle-1st-mothers-day-card-root-399moa2431,https://greeting-card-images.s3.amazonaws.com/modern-flowers-pickatitle-1st-mothers-day-card-root-399moa2431,42.69697920238102,"[239.75949957987115, 232.2334049108393, 214.08197180468676]",88.9885238008937,42.41397364670298
1323,1323,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dw6e478009/images/finished-goods/Your-Love-is-a-Gift-Mom-Valentines-Day-Card-From-Both-root-599VEE2466_PV.1.VEE2466.jpg_Source_Image.jpg?sw=416&sh=416&sm=fit&yocs=27_&yoloc=us,Mother,your-love-is-a-gift-mom-valentines-day-card-from-both-root-599vee2466,your-love-is-a-gift-mom-valentines-day-card-from-both-root-599vee2466,https://greeting-card-images.s3.amazonaws.com/your-love-is-a-gift-mom-valentines-day-card-from-both-root-599vee2466,42.70681342518451,"[196.49225825299445, 166.0968448729185, 92.19924043236927]",56.606176212816415,42.51345256936372
1324,1324,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dw2900a8f4/images/finished-goods/Two-Bunnies-Grandpa-Easter-Card-From-Kid_299EKD5107_01.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Grandfather,two-bunnies-grandpa-easter-card-from-kid,two-bunnies-grandpa-easter-card-from-kid,https://greeting-card-images.s3.amazonaws.com/two-bunnies-grandpa-easter-card-from-kid,42.73556367221643,"[237.1600741656366, 233.89451998351873, 226.18417799752783]",90.85181414964008,42.14876963792996
1325,1325,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dw3792479e/images/finished-goods/Grandpas-Love-Is-Blessing-Sympathy-Card_299S1600_01.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Grandson,grandpas-love-is-blessing-sympathy-card,grandpas-love-is-blessing-sympathy-card,https://greeting-card-images.s3.amazonaws.com/grandpas-love-is-blessing-sympathy-card,42.759873669743335,"[163.69417808219177, 131.87037671232878, 52.547260273972604]",42.40028203062046,42.82068347152511
1326,1326,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dw9d1a9450/images/finished-goods/Layered-Flowers-Anniversary-Card-for-Wife_699AVY2416_01.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Wife,layered-flowers-anniversary-card-for-wife,layered-flowers-anniversary-card-for-wife,https://greeting-card-images.s3.amazonaws.com/layered-flowers-anniversary-card-for-wife,42.781718285315094,"[238.28818193115447, 232.95824530881075, 219.892257984342]",89.839301944215,42.61592088197146
1327,1327,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dw1b3c979f/images/finished-goods/Huggable-Snuggable-Pop-Up-Birthday-Card-for-Grandson-root-359HKB4707_HKB4707_1470_1.jpg_Source_Image.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Grandson,huggable-snuggable-pop-up-birthday-card-for-grandson-root-359hkb4707,huggable-snuggable-pop-up-birthday-card-for-grandson-root-359hkb4707,https://greeting-card-images.s3.amazonaws.com/huggable-snuggable-pop-up-birthday-card-for-grandson-root-359hkb4707,42.801947779363644,"[241.18420721740225, 233.3182446875393, 212.6830126996102]",88.99357253274754,43.440772929809874
1328,1328,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dw3792479e/images/finished-goods/Grandpas-Love-Is-Blessing-Sympathy-Card_299S1600_01.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Granddaughter,grandpas-love-is-blessing-sympathy-card,grandpas-love-is-blessing-sympathy-card,https://greeting-card-images.s3.amazonaws.com/grandpas-love-is-blessing-sympathy-card,42.80203857608456,"[164.52113664269427, 132.40185932292582, 52.802490791089284]",42.61247596740854,42.7499105051279
1329,1329,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dwe48efe74/images/finished-goods/Defined-Your-Actions-Mothers-Day-Card_729MOA7086_01.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Any+Woman,defined-your-actions-mothers-day-card,defined-your-actions-mothers-day-card,https://greeting-card-images.s3.amazonaws.com/defined-your-actions-mothers-day-card,42.811260971711064,"[240.3877817706632, 232.11826200588044, 211.58150931068278]",88.62142962379333,42.77558519324987
1330,1330,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dwa0850ac7/images/finished-goods/Jill-Scott-Mama-Because-of-You-Musical-Mothers-Day-Card-From-Us-root-599MMM9456_PV.1.MMM9456.jpg_Source_Image.jpg?sw=416&sh=416&sm=fit&yocs=27_&yoloc=us,Mother,jill-scott-mama-because-of-you-musical-mothers-day-card-from-us-root-599mmm9456,jill-scott-mama-because-of-you-musical-mothers-day-card-from-us-root-599mmm9456,https://greeting-card-images.s3.amazonaws.com/jill-scott-mama-because-of-you-musical-mothers-day-card-from-us-root-599mmm9456,42.82793389972923,"[250.677564364528, 240.3187576624438, 215.39231712300776]",91.38625127206583,42.38560161217468
1331,1331,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dwf84ed3f5/images/finished-goods/Youre-an-Angel-Mom-FrenchLanguage-Birthday-Card-root-999LDQ1031_PV.1.LDQ1031.jpg_Source_Image.jpg?sw=416&sh=416&sm=fit&yocs=27_&yoloc=us,Mother,youre-an-angel-mom-frenchlanguage-birthday-card-root-999ldq1031,youre-an-angel-mom-frenchlanguage-birthday-card-root-999ldq1031,https://greeting-card-images.s3.amazonaws.com/youre-an-angel-mom-frenchlanguage-birthday-card-root-999ldq1031,42.896141138511965,"[216.9453310159583, 192.75572760309686, 133.80755253594566]",68.77507520625568,42.54251880063628
