,index,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,imageLink,category,cardName,s3_file_name,s3_link,rgb
3658,1762,1762,1751,55,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dw706d4a07/images/finished-goods/Love-of-My-Life-Birthday-Card-Husband_529MAN2635_01.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Husband,love-of-my-life-birthday-card-husband,love-of-my-life-birthday-card-husband,https://greeting-card-images.s3.amazonaws.com/love-of-my-life-birthday-card-husband,[119.6028169   88.61746479  57.32732394]
3659,2424,2424,2424,18,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dw82725e33/images/finished-goods/Snoopy-Paddling-Canoe-3D-Fathers-Day-Card_799IMM7019_01.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Father,snoopy-paddling-canoe-3d-fathers-day-card,snoopy-paddling-canoe-3d-fathers-day-card,https://greeting-card-images.s3.amazonaws.com/snoopy-paddling-canoe-3d-fathers-day-card,[200.34994463  16.38648948  48.70653378]
3660,3353,3353,3351,421,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dw5c9a05e1/images/finished-goods/Mom-Queen-of-Hearts-Valentines-Day-Card_499SV1587_01.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Mother,mom-queen-of-hearts-valentines-day-card,mom-queen-of-hearts-valentines-day-card,https://greeting-card-images.s3.amazonaws.com/mom-queen-of-hearts-valentines-day-card,[186.4129771   31.34427481  47.56564885]
3661,1485,1485,1455,30,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dwce215997/images/finished-goods/Gown-Graduation-Card-for-Sister_299GR2899_01.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Sister,gown-graduation-card-for-sister,gown-graduation-card-for-sister,https://greeting-card-images.s3.amazonaws.com/gown-graduation-card-for-sister,[122.07482305  89.8033367   53.31092012]
3662,1037,1037,995,179,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dwa36204e1/images/finished-goods/Celebrating-Another-Year-SpanishLanguage-Birthday-Card-for-Son-root-399BIB1055_PV.1.BIB1055.jpg_Source_Image.jpg?sw=416&sh=416&sm=fit&yocs=27_&yoloc=us,Son,celebrating-another-year-spanishlanguage-birthday-card-for-son-root-399bib1055,celebrating-another-year-spanishlanguage-birthday-card-for-son-root-399bib1055,https://greeting-card-images.s3.amazonaws.com/celebrating-another-year-spanishlanguage-birthday-card-for-son-root-399bib1055,[115.3689639   83.83450539  65.97632443]
3663,1986,1986,1961,265,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dwc01f96f7/images/finished-goods/Walking-Life-With-Valentines-Day-Card_529VEE2902_01.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Husband,walking-life-with-valentines-day-card,walking-life-with-valentines-day-card,https://greeting-card-images.s3.amazonaws.com/walking-life-with-valentines-day-card,[138.32709087  55.51776974  71.24452011]
3664,3666,3666,3678,3,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dw72d914fd/images/finished-goods/Fun-and-Good-Thoughts-Birthday-Card-for_459MAN2947_01.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Uncle,fun-and-good-thoughts-birthday-card-for,fun-and-good-thoughts-birthday-card-for,https://greeting-card-images.s3.amazonaws.com/fun-and-good-thoughts-birthday-card-for,[ 40.70333692 100.94660926 123.14983854]
3665,889,889,848,32,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dwf23be98e/images/finished-goods/Youre-a-Blessing-Son-Religious-Birthday-Card-root-499MAN2723_PV.1.MAN2723.jpg_Source_Image.jpg?sw=416&sh=416&sm=fit&yocs=27_&yoloc=us,Son,youre-a-blessing-son-religious-birthday-card-root-499man2723,youre-a-blessing-son-religious-birthday-card-root-499man2723,https://greeting-card-images.s3.amazonaws.com/youre-a-blessing-son-religious-birthday-card-root-499man2723,[132.47383863  88.94694377  43.26430318]
3666,1968,1968,1943,247,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dw05c03870/images/finished-goods/Shopping-Bear-Valentine-Card-for-Husband_499VEE4159_01.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Husband,shopping-bear-valentine-card-for-husband,shopping-bear-valentine-card-for-husband,https://greeting-card-images.s3.amazonaws.com/shopping-bear-valentine-card-for-husband,[193.83131883  26.1377921   44.61294655]
3667,2731,2731,2731,325,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dwe14481d2/images/finished-goods/Diamond-Pattern-Spanish-Fathers-Day-Card_599FTH1026_01.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Father,diamond-pattern-spanish-fathers-day-card,diamond-pattern-spanish-fathers-day-card,https://greeting-card-images.s3.amazonaws.com/diamond-pattern-spanish-fathers-day-card,[104.10197368  81.10782164  79.22989766]
3668,806,806,772,111,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dwab7186ab/images/finished-goods/First-Valentines-Day-Card-Granddaughter_399VKD2317_01.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Granddaughter,first-valentines-day-card-granddaughter,first-valentines-day-card-granddaughter,https://greeting-card-images.s3.amazonaws.com/first-valentines-day-card-granddaughter,[173.04735683  29.61784141  61.27202643]
3669,673,673,642,122,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dw86b6e876/images/finished-goods/Beach-Chairs-and-Sun-Anniversary-Card-for-Grandson_499AVY2332_01.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Grandson,beach-chairs-and-sun-anniversary-card-for-grandson,beach-chairs-and-sun-anniversary-card-for-grandson,https://greeting-card-images.s3.amazonaws.com/beach-chairs-and-sun-anniversary-card-for-grandson,[93.81818182 85.31707317 84.66962306]
3670,2374,2374,2373,400,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dwea4ffdde/images/finished-goods/Queen-of-My-Life-Valentines-Day-Card_799SV2327_01.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Wife,queen-of-my-life-valentines-day-card,queen-of-my-life-valentines-day-card,https://greeting-card-images.s3.amazonaws.com/queen-of-my-life-valentines-day-card,[149.40226052  57.11802853  57.16805633]
3671,469,469,467,225,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dw3e30089f/images/finished-goods/Wonder-Woman-Spanish-8th-Birthday-Card_499BIH1698_01.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Girl,wonder-woman-spanish-8th-birthday-card,wonder-woman-spanish-8th-birthday-card,https://greeting-card-images.s3.amazonaws.com/wonder-woman-spanish-8th-birthday-card,[204.22979398  12.82012678  46.60750132]
3672,2554,2554,2554,148,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dwec444d87/images/finished-goods/Star-Wars-Starships-Fathers-Day-Card_799IMM7066_01.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Father,star-wars-starships-fathers-day-card,star-wars-starships-fathers-day-card,https://greeting-card-images.s3.amazonaws.com/star-wars-starships-fathers-day-card,[ 61.22785623  78.46534018 123.93774069]
