,imageLink,category,cardName,s3_file_name,s3_link,rgb,hue
4336,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dw60680361/images/finished-goods/Dream-Catcher-Valentines-Day-Card-for-Daughter-root-659VKD5172_PV.1.VKD5172.jpg_Source_Image.jpg?sw=416&sh=416&sm=fit&yocs=27_&yoloc=us,Daughter,dream-catcher-valentines-day-card-for-daughter-root-659vkd5172,dream-catcher-valentines-day-card-for-daughter-root-659vkd5172,https://greeting-card-images.s3.amazonaws.com/dream-catcher-valentines-day-card-for-daughter-root-659vkd5172,[11.83441558  6.73538961  3.64123377],22.87259135609828
784,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dw4435ad7d/images/finished-goods/Pink-Clothes-and-Toys-New-Baby-Girl-Card_799LAD2627_01.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Mother,pink-clothes-and-toys-new-baby-girl-card,pink-clothes-and-toys-new-baby-girl-card,https://greeting-card-images.s3.amazonaws.com/pink-clothes-and-toys-new-baby-girl-card,[242.2814871  199.77314112 202.01062215],23.016265768872167
77,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dw4435ad7d/images/finished-goods/Pink-Clothes-and-Toys-New-Baby-Girl-Card_799LAD2627_01.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Father,pink-clothes-and-toys-new-baby-girl-card,pink-clothes-and-toys-new-baby-girl-card,https://greeting-card-images.s3.amazonaws.com/pink-clothes-and-toys-new-baby-girl-card,[249.95770471 248.00296583 246.78362347],23.020736111674854
2972,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dw8fd37695/images/finished-goods/Butterflies-Birthday-Card-for-Sister-root-699LAD1830_LAD1830_1470_1.jpg_Source_Image.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Sister,butterflies-birthday-card-for-sister-root-699lad1830,butterflies-birthday-card-for-sister-root-699lad1830,https://greeting-card-images.s3.amazonaws.com/butterflies-birthday-card-for-sister-root-699lad1830,[177.64337425 104.52628266 103.2483475 ],23.03258218996988
2099,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dwc4eba031/images/finished-goods/Celebrate-Valentines-Day-Anniversary-Card-for-Husband-root-599VEE2436_PV.1.VEE2436.jpg_Source_Image.jpg?sw=416&sh=416&sm=fit&yocs=27_&yoloc=us,Husband,celebrate-valentines-day-anniversary-card-for-husband-root-599vee2436,celebrate-valentines-day-anniversary-card-for-husband-root-599vee2436,https://greeting-card-images.s3.amazonaws.com/celebrate-valentines-day-anniversary-card-for-husband-root-599vee2436,[182.63644731 152.05890474 151.47399908],23.039354591368912
2294,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1ba/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dw3fe42d23/images/finished-goods/Seize-the-Moment-Bar-Mitzvah-Card-root-399JWR1003_PV.1.JWR1003.jpg_Source_Image.jpg?sw=416&sh=416&sm=fit&yocs=27_&yoloc=us,Boy,seize-the-moment-bar-mitzvah-card-root-399jwr1003,seize-the-moment-bar-mitzvah-card-root-399jwr1003,https://greeting-card-images.s3.amazonaws.com/seize-the-moment-bar-mitzvah-card-root-399jwr1003,[131.59005419 151.27319095 182.07554989],23.097391678554054
4264,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dw7a10beef/images/finished-goods/Snarling-Tiger-on-Black-Flocking-Birthday-Card_399YYB1180_01.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Any+Man,snarling-tiger-on-black-flocking-birthday-card,snarling-tiger-on-black-flocking-birthday-card,https://greeting-card-images.s3.amazonaws.com/snarling-tiger-on-black-flocking-birthday-card,[33.32682091 27.13401885 23.2437018 ],23.151239851522906
303,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dw33b1bb75/images/finished-goods/Script-Letters-with-Flowers-Anniversary-Card_899LAD2587_01.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Husband,script-letters-with-flowers-anniversary-card,script-letters-with-flowers-anniversary-card,https://greeting-card-images.s3.amazonaws.com/script-letters-with-flowers-anniversary-card,[235.40618604 233.27837162 231.96554469],23.169579593764833
2204,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dwad1edaa8/images/finished-goods/Pink-and-Orange-Flowers-Mothers-Day-Card_629MOA2723_01.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Mother,pink-and-orange-flowers-mothers-day-card,pink-and-orange-flowers-mothers-day-card,https://greeting-card-images.s3.amazonaws.com/pink-and-orange-flowers-mothers-day-card,[244.52002861 128.98426323 101.47567954],23.172117992529078
2742,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dw30eb6f90/images/finished-goods/Pink-and-Gold-Bat-Mitzvah-Card-root-599JWR1156_PV.1.JWR1156.jpg_Source_Image.jpg?sw=416&sh=416&sm=fit&yocs=27_&yoloc=us,Girl,pink-and-gold-bat-mitzvah-card-root-599jwr1156,pink-and-gold-bat-mitzvah-card-root-599jwr1156,https://greeting-card-images.s3.amazonaws.com/pink-and-gold-bat-mitzvah-card-root-599jwr1156,[222.94599063 147.84568752  43.95260402],23.288945705053116
2329,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dw2f8afd0f/images/finished-goods/Winter-Forest-Christmas-Card-for-Daughter-and-the-Woman-She-Loves-root-499XXO1623_XXO1623_1470_1.jpg_Source_Image.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Daughter,winter-forest-christmas-card-for-daughter-and-the-woman-she-loves-root-499xxo1623,winter-forest-christmas-card-for-daughter-and-the-woman-she-loves-root-499xxo1623,https://greeting-card-images.s3.amazonaws.com/winter-forest-christmas-card-for-daughter-and-the-woman-she-loves-root-499xxo1623,[170.53387097 173.50080645 116.33387097],23.291900013659223
1486,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dw337998be/images/finished-goods/Beautiful-Presence-Birthday-Card-Sister_359MHB8232_01.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Sister,beautiful-presence-birthday-card-sister,beautiful-presence-birthday-card-sister,https://greeting-card-images.s3.amazonaws.com/beautiful-presence-birthday-card-sister,[226.14103618 178.33881579 159.20065789],23.313531601308497
676,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dw9037d1a6/images/finished-goods/Floral-Teacup-FrenchLanguage-Mothers-Day-Card-root-299MOA1803_PV.1.MOA1803.jpg_Source_Image.jpg?sw=416&sh=416&sm=fit&yocs=27_&yoloc=us,Any+Woman,floral-teacup-frenchlanguage-mothers-day-card-root-299moa1803,floral-teacup-frenchlanguage-mothers-day-card-root-299moa1803,https://greeting-card-images.s3.amazonaws.com/floral-teacup-frenchlanguage-mothers-day-card-root-299moa1803,[245.80844049 213.95878668 197.86053412],23.320940197870076
2052,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dwfbe35bb7/images/finished-goods/orange-and-yellow-roses-card-for-niece-root-199moa2414_1470_1.jpg?sw=416&sh=416&sm=fit&yocs=27_&yoloc=us,Niece,orange-and-yellow-roses-card-for-niece-root-199moa2414,orange-and-yellow-roses-card-for-niece-root-199moa2414,https://greeting-card-images.s3.amazonaws.com/orange-and-yellow-roses-card-for-niece-root-199moa2414,[249.4253366  216.33414933  25.32313341],23.382540447114156
1432,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dwac4b0447/images/finished-goods/Man-Thankful-Woman-Valentines-Day-Card_729VEE9177_01.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Wife,man-thankful-woman-valentines-day-card,man-thankful-woman-valentines-day-card,https://greeting-card-images.s3.amazonaws.com/man-thankful-woman-valentines-day-card,[236.81079302 164.32477789 169.41428101],23.427238876142415
4247,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1ba/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dw92ab814d/images/finished-goods/Disney-Mickey-Mouse-Vampire-Halloween-Card-root-200HV5213_PV.1.HV5213.jpg_Source_Image.jpg?sw=416&sh=416&sm=fit&yocs=27_&yoloc=us,Boy,disney-mickey-mouse-vampire-halloween-card-root-200hv5213,disney-mickey-mouse-vampire-halloween-card-root-200hv5213,https://greeting-card-images.s3.amazonaws.com/disney-mickey-mouse-vampire-halloween-card-root-200hv5213,[32.50077212 30.57555703 29.98389587],23.46076577641223
911,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dw94c6c91a/images/finished-goods/Origami-Flowers-Musical-Mothers-Day-Card_899MEJ1103_01.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Mother,origami-flowers-musical-mothers-day-card,origami-flowers-musical-mothers-day-card,https://greeting-card-images.s3.amazonaws.com/origami-flowers-musical-mothers-day-card,[223.77459016 207.8252608  197.78185544],23.47745348544282
